,Network,State,Facility Name,Star Rating,Profit Or Non-Profit,Chain Owned,Chain Organization,Late Shift,Number Of Dialysis Stations,Offers In-Center Hemodialysis,Offers Peritoneal Dialysis,Offers Home Hemodialysis Training,Percentage Of Medicare Patients With Hgb < 10 g/dL,Percentage Of Medicare Patients With Hgb > 12 g/dL,Percent Of Adult HD Patients With Kt/V >= 1.2,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5 - 4.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6 - 5.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6 - 7.0 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 mg/dL,Mortality Rate (Facility),Readmission Rate (Facility),Hospitalization Rate (Facility),Standard Infection Ratio,Transfusion Rate (Facility),Fistula Rate (Facility),Percentage Of Adult Patients With Long Term Catheter In Use,Standardized First Kidney Transplant Waitlist Ratio,Percentage Of Prevalent Patients Waitlisted
0,15,AZ,FMC NORTH MOUNTAIN,4,1.0,1,FRESENIUS MEDICAL CARE,0,25,1,0,0,8.0,0.0,98.0,2.0,7.0,28.0,30.0,26.0,9.0,26.1,30.0,224.5,0.38,24.3,72.5,11.0,0.82,21.6
1,13,AR,DAVITA POCAHONTAS DIALYSIS,3,1.0,1,DAVITA,0,8,1,1,0,14.0,0.0,97.0,7.0,4.0,21.0,46.0,13.0,16.0,24.4,18.2,118.4,0.87,13.9,71.4,19.0,0.82,18.2
2,15,CO,DAVITA PLATTE VALLEY DIALYSIS,5,1.0,1,DAVITA,0,12,1,1,0,0.0,0.0,100.0,3.0,4.0,25.0,30.0,23.0,17.0,19.1,31.0,84.8,0.7,0.0,90.9,7.0,0.82,23.1
3,7,FL,DAVITA MELBOURNE DIALYSIS,2,1.0,1,DAVITA,0,16,1,1,0,15.0,0.0,99.0,0.0,7.0,21.0,23.0,22.0,27.0,34.2,22.0,280.4,0.23,53.8,59.0,19.0,0.3,10.5
4,6,GA,DAVITA WEST HIRAM DIALYSIS,4,1.0,1,DAVITA,0,13,1,1,1,19.0,0.0,97.0,1.0,10.0,27.0,34.0,23.0,7.0,23.1,35.1,193.4,0.55,26.5,72.1,11.0,0.82,23.1
5,10,IL,FMC - CICERO,4,1.0,1,FRESENIUS MEDICAL CARE,0,20,1,0,0,21.0,0.0,98.0,2.0,11.0,27.0,26.0,26.0,10.0,14.6,30.1,216.1,0.37,29.7,63.4,14.0,0.4,18.3
6,10,IL,AFFILIATED DIALYSIS OF MORRIS,3,1.0,0,INDEPENDENT,0,10,1,0,0,23.0,0.0,90.0,2.0,6.0,19.0,15.0,31.0,28.0,24.4,17.1,208.0,0.0,33.8,68.8,19.0,0.82,11.6
7,9,IN,THE DIALYSIS CENTER OF GARY LLC,3,1.0,1,AMERICAN RENAL ASSOCIATES,0,21,1,1,0,37.0,0.0,98.0,1.0,8.0,24.0,35.0,23.0,10.0,19.8,30.1,209.0,0.33,12.6,46.3,22.0,0.82,2.3
8,9,IN,VALPARAISO DIALYSIS,4,1.0,1,AMERICAN RENAL ASSOCIATES,0,12,1,1,1,38.0,0.0,99.0,0.0,5.0,34.0,33.0,18.0,11.0,10.0,28.8,151.1,0.44,16.7,65.2,17.0,0.82,20.4
9,13,LA,DAVITA FREMAUX DIALYSIS,3,1.0,1,DAVITA,0,13,1,0,0,33.0,0.0,100.0,0.0,4.0,21.0,34.0,22.0,19.0,32.8,38.6,302.0,1.2,49.2,65.0,12.0,1.04,18.2
